task,directive,feedback_loop,learning,none,task_iteration,validation,not_classified
Compute cost estimates for labor and materials.,0.8935,0.0417,0.0,0.0046,0.0602,0.0,0.0
Compute costs of labor and materials to determine production costs of products and articles.,0.8332999999999999,0.0556,0.0,0.0278,0.0833,0.0,0.0
"Compute dimensions, areas, volumes, and weights.",0.8611,0.0556,0.0139,0.0139,0.0556,0.0,0.0
"Compute estimates and actual costs of factors such as materials, labor, or outside contractors.",0.8362,0.0169,0.005600000000000001,0.0,0.1356,0.005600000000000001,0.0
"Compute figures such as balances, totals, or commissions.",0.878,0.0321,0.0048,0.0144,0.052199999999999996,0.018500000000000003,0.0
"Compute final estimation of property values, taking into account such factors as depreciation, replacement costs, value comparisons of similar properties, and income potential.",0.8936,0.0213,0.0213,0.0,0.0426,0.0213,0.0
"Compute mathematical formulas to develop and design detailed specifications for components or machinery, using computer-assisted equipment.",0.7667,0.0333,0.1333,0.0,0.0667,0.0,0.0
Compute prices of items or groups of items.,0.7895,0.0789,0.0066,0.0132,0.0658,0.0461,0.0
"Compute reporting metrics, such as on-time delivery rates, order fulfillment rates, or inventory turns.",0.9506999999999999,0.021099999999999997,0.0,0.006999999999999999,0.0141,0.006999999999999999,0.0
"Compute sales prices, total purchases, and receive and process cash or credit payment.",0.7447,0.2553,0.0,0.0,0.0,0.0,0.0
"Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements.",0.8571,0.035699999999999996,0.0,0.035699999999999996,0.07139999999999999,0.0,0.0
"Compute, record, and proofread data and other information, such as records or reports.",0.8462000000000001,0.0256,0.0,0.0,0.0064,0.12179999999999999,0.0
"Conceptualize and help design interfaces for multimedia games, products, and devices.",0.7725,0.029900000000000003,0.0,0.0359,0.1497,0.012,0.0
Conduct auditions or interviews to evaluate potential clients.,0.675,0.15,0.0,0.175,0.0,0.0,0.0
"Conduct classes or demonstrations, or train other workers.",0.7473000000000001,0.1319,0.07139999999999999,0.0385,0.0,0.011000000000000001,0.0
Conduct economic or commercial surveys to identify potential markets for products or services.,0.8012,0.0406,0.002,0.1481,0.008100000000000001,0.0,0.0
Conduct evaluations of employees' performance.,0.9245,0.056600000000000004,0.0,0.0,0.0189,0.0,0.0
"Conduct failure analyses, document results, and recommend corrective actions.",0.7191,0.191,0.0393,0.0,0.0225,0.0281,0.0
"Conduct gambling games, such as dice, roulette, cards, or keno, following all applicable rules and regulations.",0.3014,0.6620999999999999,0.0,0.0274,0.0046,0.0046,0.0
"Conduct gambling tables or games, such as dice, roulette, cards, or keno, and ensure that game rules are followed.",0.2772,0.7129000000000001,0.0,0.0,0.0,0.009899999999999999,0.0
"Conduct historical research, and publish or present findings and theories.",0.9129999999999999,0.014499999999999999,0.0435,0.014499999999999999,0.014499999999999999,0.0,0.0
Conduct investigations of information security breaches to identify vulnerabilities and evaluate the damage.,0.9179999999999999,0.0664,0.0,0.0,0.015600000000000001,0.0,0.0
"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",0.9273,0.0182,0.0,0.0,0.0364,0.0182,0.0
"Conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance.",0.9695999999999999,0.009000000000000001,0.0028000000000000004,0.0033,0.0138,0.0014000000000000002,0.0
Conduct market research and analyze industry trends.,0.9722,0.01,0.0015,0.003,0.0118,0.0015,0.0
Conduct meetings with staff to discuss production progress and to ensure production objectives are attained.,0.8209000000000001,0.052199999999999996,0.0,0.1119,0.0149,0.0,0.0
"Conduct needs assessments or surveys to determine interest in, or satisfaction with, wellness and fitness programs, events, or services.",0.8387,0.043,0.0,0.1183,0.0,0.0,0.0
"Conduct network and security system audits, using established criteria.",0.8933,0.058899999999999994,0.0044,0.0066,0.011000000000000001,0.0258,0.0
"Conduct nutritional assessments of individuals, including obtaining and evaluating individuals' dietary histories, to plan nutritional programs.",0.8,0.0667,0.0333,0.0333,0.0667,0.0,0.0
"Conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media Web sites.",0.8293,0.122,0.0,0.0,0.048799999999999996,0.0,0.0
Conduct or direct the internal investigation of compliance issues.,0.9467,0.013300000000000001,0.0,0.026699999999999998,0.0,0.013300000000000001,0.0
"Conduct personal background investigations, such as pre-employment checks, to obtain information about an individual's character, financial status, or personal history.",0.9345,0.0364,0.0,0.014499999999999999,0.0109,0.0036,0.0
Conduct predictive or reactive analyses on security measures to support cyber security initiatives.,0.9375,0.028399999999999998,0.0059,0.011399999999999999,0.0024,0.0143,0.0
Conduct presentations of analytic findings.,0.8986,0.028999999999999998,0.0435,0.014499999999999999,0.014499999999999999,0.0,0.0
Conduct primary patient assessments that include information from prior medical care.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Conduct reference searches, using printed materials and in-house and online databases.",0.8959999999999999,0.0246,0.0277,0.0168,0.0231,0.0116,0.0
Conduct regular reviews of property within jurisdictions to determine changes in property due to construction or demolition.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",0.8443999999999999,0.0,0.15560000000000002,0.0,0.0,0.0,0.0
"Conduct research on cell organization and function, including mechanisms of gene expression, cellular bioinformatics, cell signaling, or cell differentiation.",0.8957999999999999,0.0417,0.0625,0.0,0.0,0.0,0.0
"Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.",0.8356,0.0416,0.0,0.095,0.0277,0.0,0.0
"Conduct research on the structures and properties of materials, such as metals, alloys, polymers, and ceramics, to obtain information that could be used to develop new products or enhance existing ones.",0.9333,0.0,0.0333,0.0,0.0333,0.0,0.0
"Conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public.",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors.",0.9122,0.0311,0.0022,0.0011,0.0478,0.005600000000000001,0.0
"Conduct searches to find needed information, using such sources as the Internet.",0.8418000000000001,0.049100000000000005,0.0472,0.025,0.028399999999999998,0.0085,0.0
"Conduct software compatibility tests with programs, hardware, operating systems, or network environments.",0.8148000000000001,0.037000000000000005,0.0,0.1481,0.0,0.0,0.0
"Conduct statistical analyses to quantify risk, using statistical analysis software or econometric models.",0.9186,0.0581,0.0116,0.0,0.0,0.0116,0.0
"Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews.",0.4658,0.08130000000000001,0.0037,0.4362,0.0111,0.0018,0.0
Conduct trial runs of programs and software applications to be sure they will produce the desired information and that the instructions are correct.,0.815,0.1547,0.001,0.0131,0.0076,0.0086,0.0
Conduct user research to determine design requirements and analyze user feedback to improve design quality.,0.7835,0.0424,0.0024,0.15289999999999998,0.0165,0.0024,0.0
"Confer or correspond with establishment representatives to rectify problems, such as damages, shortages, or nonconformance to specifications.",0.92,0.0,0.0,0.04,0.0,0.04,0.0
"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",0.8073999999999999,0.0984,0.0,0.08199999999999999,0.008199999999999999,0.0040999999999999995,0.0
"Confer with clients regarding price and type of arrangement desired and the date, time, and place of delivery.",0.47619999999999996,0.2857,0.0,0.09519999999999999,0.1429,0.0,0.0
"Confer with clients to determine objectives, budget, background information, and presentation approaches, styles, and techniques.",0.5245000000000001,0.1585,0.0,0.1795,0.1352,0.0023,0.0
Confer with clients to discuss and determine layout design.,0.47619999999999996,0.11109999999999999,0.0,0.15869999999999998,0.23809999999999998,0.0159,0.0
"Confer with clients to restructure debt, refinance debt, or raise new debt.",0.7667,0.1333,0.0,0.0,0.1,0.0,0.0
"Confer with clients, editors, publishers, or producers to discuss changes or revisions to written material.",0.7742,0.0968,0.0,0.0323,0.0968,0.0,0.0
"Confer with co-workers to obtain information about orders, processes, or problems.",0.7112,0.0733,0.0,0.2112,0.0,0.0043,0.0
Confer with colleagues to formulate positions and strategies pertaining to pending issues.,0.72,0.1067,0.013300000000000001,0.1067,0.04,0.013300000000000001,0.0
"Confer with colleagues, faculty, and community members and organizations to conduct informational programs, make collection decisions, and determine library services to offer.",0.8571,0.1429,0.0,0.0,0.0,0.0,0.0
"Confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business.",0.5172,0.2759,0.0,0.069,0.1379,0.0,0.0
"Confer with coworkers to get information about order details, processing plans, or problems that occur.",0.6364,0.0909,0.030299999999999997,0.1818,0.030299999999999997,0.030299999999999997,0.0
"Confer with coworkers to obtain information about orders, processes, or problems.",0.7143,0.044199999999999996,0.0,0.23120000000000002,0.0026,0.0078000000000000005,0.0
"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",0.838,0.0308,0.052199999999999996,0.058899999999999994,0.0134,0.0067,0.0
"Confer with customers or supervising personnel to address questions, problems, or requests for service or equipment.",0.6074,0.29960000000000003,0.0103,0.0723,0.0062,0.0040999999999999995,0.0
Confer with customers to assess customer needs or obtain feedback.,0.539,0.1698,0.009899999999999999,0.226,0.0506,0.004699999999999999,0.0
Confer with customers to determine how to tailor materials to their needs.,0.5914,0.1114,0.005699999999999999,0.1514,0.1343,0.005699999999999999,0.0
Confer with customers to determine the nature of malfunctions.,0.5561,0.21030000000000001,0.009300000000000001,0.21030000000000001,0.013999999999999999,0.0,0.0
Confer with customers to determine the nature of problems or to explain repairs.,0.511,0.1322,0.0088,0.28190000000000004,0.0441,0.022000000000000002,0.0
Confer with department supervisors or other personnel to assess progress and discuss needed changes.,0.7681,0.09179999999999999,0.0048,0.12560000000000002,0.0097,0.0,0.0
Confer with engineering staff and other personnel to resolve problems.,0.7143,0.1837,0.0,0.0816,0.0204,0.0,0.0
"Confer with engineers or other personnel to implement operating procedures, resolve system malfunctions, or provide technical information.",0.7333,0.1714,0.0095,0.0667,0.019,0.0,0.0
"Confer with establishment personnel, vendors, or customers to coordinate production or shipping activities and to resolve complaints or eliminate delays.",0.8913,0.0435,0.0,0.0652,0.0,0.0,0.0
Confer with management to discuss and resolve participant complaints.,0.7895,0.0526,0.0,0.15789999999999998,0.0,0.0,0.0
"Confer with management, production, or marketing staff to discuss project specifications or procedures.",0.7273000000000001,0.0909,0.0,0.0909,0.0455,0.0455,0.0
"Confer with managers to determine production requirements, conditions of equipment and supplies, and work schedules.",0.7273000000000001,0.0909,0.0,0.1364,0.0455,0.0,0.0
Confer with network users about solutions to existing system problems.,0.46340000000000003,0.46340000000000003,0.024399999999999998,0.048799999999999996,0.0,0.0,0.0
"Confer with personnel, such as management, engineering, quality control, customer, or union workers' representatives, to coordinate work activities, resolve employee grievances, or identify and review resource needs.",0.8798,0.0433,0.0,0.0673,0.0048,0.0048,0.0
Confer with project personnel to identify and resolve problems.,0.5257999999999999,0.1649,0.0,0.2887,0.0103,0.0103,0.0
Confer with stage or motion picture officials and performers to determine desired effects.,0.55,0.15,0.0,0.05,0.25,0.0,0.0
"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",0.5152,0.060599999999999994,0.060599999999999994,0.030299999999999997,0.3333,0.0,0.0
"Confer with users to analyze, configure, or troubleshoot applications.",0.4119,0.43560000000000004,0.034300000000000004,0.0333,0.0764,0.0086,0.0
"Confer with users to discuss issues such as computer data access needs, security violations, and programming changes.",0.5109,0.22829999999999998,0.054299999999999994,0.054299999999999994,0.1413,0.0109,0.0
"Configure and define parameters for installation or testing of local area network (LAN), wide area network (WAN), hubs, routers, switches, controllers, multiplexers, or related networking equipment.",0.66,0.32,0.02,0.0,0.0,0.0,0.0
Configure information systems to incorporate principles of least functionality and least access.,0.6444,0.16670000000000001,0.0444,0.0,0.1444,0.0,0.0
Configure security settings or access permissions for groups or individuals.,0.7478,0.17989999999999998,0.0059,0.0147,0.0501,0.0015,0.0
Configure servers to meet functional specifications.,0.585,0.3527,0.005699999999999999,0.0212,0.034,0.0014000000000000002,0.0
"Configure, monitor, and maintain email applications or virus protection software.",0.8989,0.0787,0.0,0.0225,0.0,0.0,0.0
Consult or negotiate with clients to prepare project specifications.,0.5,0.39289999999999997,0.0,0.07139999999999999,0.035699999999999996,0.0,0.0
"Consult sources, such as rate books, manuals, or insurance company representatives, to determine specific charges or information such as rules, regulations, or government tax and tariff information.",0.8704000000000001,0.018500000000000003,0.0833,0.0,0.0139,0.0139,0.0
"Consult with and advise government officials, civic bodies, research agencies, the media, political parties, and others concerned with political issues.",0.7,0.06,0.04,0.06,0.12,0.02,0.0
"Consult with and advise individuals such as administrators, social workers, and legislators regarding social issues and policies, as well as the implications of research findings.",0.68,0.04,0.2,0.04,0.0,0.04,0.0
"Consult with and advise physicians, educators, researchers, government health officials and others regarding medical applications of sciences, such as physics, biology, and chemistry.",0.7188,0.0313,0.125,0.0313,0.0313,0.0625,0.0
Consult with clients after sales or contract signings to resolve problems and provide ongoing support.,0.7147,0.1491,0.0437,0.056600000000000004,0.025699999999999997,0.0103,0.0
Consult with clients after sales or contract signings to resolve problems and to provide ongoing support.,0.7243,0.1593,0.0276,0.0643,0.0168,0.0077,0.0
"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",0.6888,0.09970000000000001,0.0771,0.0771,0.0492,0.008,0.0
Consult with end users regarding problems in accessing electronic content.,0.5616,0.298,0.0443,0.0837,0.0074,0.0049,0.0
"Consult with or provide consultation to other doctors, therapists, or clinicians regarding patient care.",0.5714,0.07139999999999999,0.19640000000000002,0.0179,0.08929999999999999,0.0536,0.0
"Consult with researchers to analyze problems, recommend technology-based solutions, or determine computational strategies.",0.4535,0.1128,0.18359999999999999,0.0398,0.1991,0.0111,0.0
Contact applicants or creditors to resolve questions about applications or to assist with completion of paperwork.,0.9412,0.0,0.0,0.0588,0.0,0.0,0.0
Contact borrowers with delinquent accounts to obtain payment in full or to negotiate repayment plans.,0.8189,0.126,0.0,0.0315,0.0079,0.015700000000000002,0.0
"Contact businesses or private individuals by telephone to solicit sales for goods or services, or to request donations for charitable causes.",0.846,0.0192,0.0,0.1333,0.0008,0.0008,0.0
Contact carriers for rates or schedules.,0.8421,0.0877,0.0,0.0175,0.0526,0.0,0.0
"Contact clients in person, by phone, or in writing to ensure they have completed required or recommended actions.",0.5357,0.2143,0.0,0.25,0.0,0.0,0.0
"Contact customers by mail, telephone, or in person concerning acceptance or rejection of applications.",0.9534999999999999,0.0233,0.0,0.0233,0.0,0.0,0.0
Contact customers or travel agents to advise them of travel conveyance changes or to confirm reservations.,0.831,0.0704,0.0,0.0775,0.006999999999999999,0.0141,0.0
Contact customers to obtain or relay account information.,0.8717,0.026699999999999998,0.0,0.09630000000000001,0.0,0.0053,0.0
Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,0.8648,0.0196,0.0039000000000000003,0.10189999999999999,0.0098,0.0,0.0
Contact job applicants to inform them of the status of their applications.,0.8476,0.0508,0.0027,0.0882,0.0053,0.0053,0.0
Contact new or existing customers to discuss how specific products or services can meet their needs.,0.8568000000000001,0.0512,0.0012,0.08,0.009300000000000001,0.0015,0.0
Contact organizations to explain services and facilities offered.,0.875,0.0,0.0,0.125,0.0,0.0,0.0
Contact potential vendors to determine material availability.,0.5390999999999999,0.41409999999999997,0.0,0.0391,0.0078000000000000005,0.0,0.0
Contact previous clients for prospecting of referral business.,0.92,0.0,0.0,0.08,0.0,0.0,0.0
Contact property owners and advertise services to solicit property sales listings.,0.7565000000000001,0.0087,0.0,0.2348,0.0,0.0,0.0
Contact prospective customers to present information and explain available services.,0.8709,0.0406,0.0015,0.0758,0.0108,0.0005,0.0
Contact prospective or existing customers to discuss how services can meet their needs.,0.8449,0.041299999999999996,0.0017000000000000001,0.09880000000000001,0.012,0.0013,0.0
Contribute to the development or implementation of business unit strategic and operating plans.,0.7212999999999999,0.127,0.0246,0.0451,0.0697,0.0123,0.0
"Converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required.",0.5602,0.2892,0.0,0.12050000000000001,0.0301,0.0,0.0
Converse with customers to determine details of equipment problems.,0.5339,0.1946,0.0045000000000000005,0.2353,0.0181,0.013600000000000001,0.0
"Convert various types of files for printing or for the Internet, using computer software.",0.9075,0.023,0.0,0.0137,0.0558,0.0,0.0
Convert video and audio recordings into digital formats for editing or archiving.,0.8695999999999999,0.0356,0.004,0.0356,0.0553,0.0,0.0
Coordinate activities with other supervisory personnel or with other work units or departments.,0.7833,0.1583,0.0,0.0417,0.0167,0.0,0.0
Coordinate and link the computer systems within an organization to increase compatibility so that information can be shared.,0.6111,0.3175,0.0079,0.0397,0.023799999999999998,0.0,0.0
"Coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects.",0.6667000000000001,0.22219999999999998,0.0,0.037000000000000005,0.0,0.0741,0.0
Coordinate or maintain office tracking systems for correspondence or follow-up actions.,0.8205,0.07690000000000001,0.0256,0.07690000000000001,0.0,0.0,0.0
"Coordinate production activities with other functional units, such as procurement, maintenance, or quality control.",0.8631,0.1079,0.0,0.0083,0.0124,0.0083,0.0
Coordinate recruitment or selection of project personnel.,0.9643,0.0,0.0,0.035699999999999996,0.0,0.0,0.0
Coordinate user or third-party testing.,0.8077,0.15380000000000002,0.0,0.0385,0.0,0.0,0.0
Coordinate work assignment preparation and completion with other workers.,0.78,0.0971,0.011399999999999999,0.10859999999999999,0.0029,0.0,0.0
"Coordinate, monitor, or revise complaint procedures to ensure timely processing and review of complaints.",0.8931,0.0377,0.0,0.0692,0.0,0.0,0.0
"Coordinate, prepare, or review regulatory submissions for domestic or international projects.",0.8058,0.036000000000000004,0.0,0.0216,0.0432,0.0935,0.0
Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,0.6409,0.3065,0.0031,0.0037,0.0435,0.0023,0.0
"Correct or record omissions, errors, or inconsistencies found.",0.8116,0.016,0.0015,0.0018,0.0172,0.152,0.0
"Correct testing-identified problems, or recommend actions for their resolution.",0.612,0.281,0.024300000000000002,0.01,0.042800000000000005,0.03,0.0
"Correspond with customers and confer with coworkers to answer inquiries, discuss market fluctuations, or resolve account problems.",0.9014,0.042300000000000004,0.0,0.056299999999999996,0.0,0.0,0.0
Correspond with insured or agent to obtain information or to inform them of account status or changes.,0.9231,0.011000000000000001,0.0,0.044000000000000004,0.011000000000000001,0.011000000000000001,0.0
"Correspond with online customers via electronic mail, telephone, or other electronic messaging to address questions or complaints about products, policies, or shipping methods.",0.9052,0.0392,0.0033,0.0131,0.0359,0.0033,0.0
"Counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues.",0.49369999999999997,0.0965,0.1329,0.15380000000000002,0.0895,0.0336,0.0
"Counsel clients on personal and family financial problems, such as excessive spending or borrowing of funds.",0.5244,0.2805,0.08539999999999999,0.0183,0.0793,0.012199999999999999,0.0
"Counsel employees in work-related activities, personal growth, or career development.",0.6467,0.1304,0.054299999999999994,0.1033,0.0326,0.0326,0.0
"Counsel individuals and groups on basic rules of good nutrition, healthy eating habits, and nutrition monitoring to improve their quality of life.",0.669,0.1379,0.1241,0.0207,0.0379,0.0103,0.0
"Counsel individuals or groups to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.",0.44329999999999997,0.18789999999999998,0.1206,0.1241,0.0851,0.039,0.0
"Counsel individuals regarding interpersonal, health, financial, or religious problems.",0.467,0.16190000000000002,0.076,0.2071,0.046900000000000004,0.0412,0.0
"Counsel individuals, groups, families, or communities regarding issues including mental health, poverty, unemployment, substance abuse, physical abuse, rehabilitation, social adjustment, child care, or medical care.",0.5635,0.0913,0.15869999999999998,0.1548,0.0159,0.0159,0.0
"Counsel individuals, groups, or families to help them understand problems, deal with crisis situations, define goals, and develop realistic action plans.",0.2876,0.2297,0.1753,0.2539,0.0233,0.0302,0.0
Counsel outpatients or other patients during office visits.,0.449,0.102,0.3061,0.0816,0.0204,0.0408,0.0
"Counsel patients about drug regimens and possible side effects or interactions with other substances, such as food supplements, over-the-counter (OTC) medications, or herbal remedies.",0.5603,0.0993,0.26239999999999997,0.014199999999999999,0.028399999999999998,0.0355,0.0
"Counsel patients about nutrition, exercise, sleeping habits, stress management, or other matters.",0.6175,0.1252,0.11320000000000001,0.1115,0.0206,0.012,0.0
"Counsel patients or others on the background of neurological disorders including risk factors, or genetic or environmental concerns.",0.7368000000000001,0.0,0.2632,0.0,0.0,0.0,0.0
"Counsel student athletes on academic, athletic, and personal issues.",0.4082,0.26530000000000004,0.0816,0.16329999999999997,0.061200000000000004,0.0204,0.0
"Counsel students in the handling of issues such as family, financial, and educational problems.",0.4783,0.0217,0.0435,0.3696,0.0435,0.0435,0.0
"Counsel students regarding educational issues, such as course and program selection, class scheduling and registration, school adjustment, truancy, study habits, and career planning.",0.4545,0.1515,0.2121,0.12119999999999999,0.0,0.060599999999999994,0.0
Counsel students with adjustment or academic problems.,0.4857,0.0286,0.0571,0.3429,0.0857,0.0,0.0
Counsel workers about job and career-related issues.,0.3667,0.20829999999999999,0.10830000000000001,0.2667,0.0417,0.0083,0.0
"Count, weigh, measure, or organize materials.",0.9756,0.012199999999999999,0.0,0.0060999999999999995,0.0060999999999999995,0.0,0.0
"Create and maintain logs, records, or databases of information about fraudulent activity.",0.96,0.0,0.0,0.04,0.0,0.0,0.0
"Create basic designs, drawings, and illustrations for product labels, cartons, direct mail, or television.",0.8732,0.0,0.0,0.0,0.1127,0.0141,0.0
"Create billing documents, shipping labels, credit memorandums, or credit forms.",0.7429000000000001,0.0857,0.0,0.019,0.1429,0.0095,0.0
"Create business intelligence tools or systems, including design of related databases, spreadsheets, or outputs.",0.662,0.1408,0.0,0.0,0.1972,0.0,0.0
"Create core game features, including storylines, role-play mechanics, and character biographies for a new video game or game franchise.",0.7232999999999999,0.044000000000000004,0.0063,0.0126,0.2138,0.0,0.0
"Create debt management plans, spending plans, or budgets to assist clients to meet financial goals.",0.62,0.16,0.0,0.02,0.2,0.0,0.0
"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.",0.9020999999999999,0.0319,0.0,0.0043,0.0617,0.0,0.0
Create developmentally appropriate lesson plans.,0.8267,0.0225,0.0034999999999999996,0.031200000000000002,0.1161,0.0,0.0
"Create diagrams to communicate environmental remediation planning, using geographic information systems (GIS), computer-aided design (CAD), or other mapping or diagramming software.",0.8056,0.0556,0.0,0.0,0.1389,0.0,0.0
Create drink recipes.,0.9301999999999999,0.0233,0.04650000000000001,0.0,0.0,0.0,0.0
Create embedded software design programs.,0.8896,0.048499999999999995,0.004,0.0013,0.0565,0.0,0.0
"Create graphs, charts, or other visualizations to convey the results of data analysis using specialized software.",0.7752,0.0611,0.0077,0.008100000000000001,0.1452,0.0027,0.0
Create itemized invoices to record amounts due for services rendered.,0.7143,0.2143,0.0,0.0,0.07139999999999999,0.0,0.0
"Create marketing or outreach media, such as brochures or Web sites, to communicate sustainability issues, procedures, or objectives.",0.8551000000000001,0.027999999999999997,0.0,0.0187,0.0981,0.0,0.0
Create novel computational approaches and analytical tools as required by research goals.,0.7509,0.15789999999999998,0.013999999999999999,0.0175,0.056100000000000004,0.0034999999999999996,0.0
Create or administer training and awareness presentations or materials.,0.9208,0.0226,0.0,0.0038,0.0528,0.0,0.0
"Create or distribute offline promotional material, such as brochures, pamphlets, business cards, stationary, or signage.",0.8106,0.0199,0.0,0.0189,0.1506,0.0,0.0
"Create or implement security standards, policies, and procedures.",0.8551000000000001,0.0362,0.014499999999999999,0.0507,0.0362,0.0072,0.0
"Create or interpret engineering drawings, schematic diagrams, formulas, or blueprints for management or engineering staff.",0.905,0.0063,0.0579,0.0072,0.019,0.0045000000000000005,0.0
Create or maintain database of customer accounts.,0.7852,0.08710000000000001,0.0043,0.0928,0.0271,0.0036,0.0
"Create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements.",0.8301000000000001,0.0574,0.0024,0.0048,0.10289999999999999,0.0024,0.0
Create or review technical design documentation to ensure the accurate development of reporting solutions.,0.9408,0.026099999999999998,0.0,0.0034999999999999996,0.0279,0.0017000000000000001,0.0
"Create or revise user instructions, procedures, or manuals.",0.7612000000000001,0.08960000000000001,0.0,0.0,0.1493,0.0,0.0
Create sales or service contracts for products or services.,0.8214,0.07139999999999999,0.0,0.0,0.10710000000000001,0.0,0.0
Create specialty dishes and develop recipes to be used in dining facilities.,0.9477,0.0139,0.006999999999999999,0.006999999999999999,0.024399999999999998,0.0,0.0
"Create supporting documentation, such as metadata and diagrams of entity relationships, business processes, and process flow.",0.7974,0.028300000000000002,0.0087,0.0131,0.146,0.006500000000000001,0.0
"Create three-dimensional or interactive representations of designs, using computer-assisted design software.",0.6522,0.2826,0.0,0.0,0.0652,0.0,0.0
"Create, analyze, report, convert, or transfer data, using specialized applications program software.",0.927,0.0346,0.0013,0.0208,0.0154,0.0009,0.0
"Create, maintain, and enter information into databases.",0.8590000000000001,0.08410000000000001,0.0018,0.0292,0.025,0.001,0.0
"Create, populate, or maintain databases for tracking validation activities, test results, or validated systems.",0.8829,0.045,0.0,0.0541,0.018000000000000002,0.0,0.0
"Debit, credit, and total accounts on computer spreadsheets and databases, using specialized accounting software.",0.8332999999999999,0.1333,0.0,0.0333,0.0,0.0,0.0
Decide whether baggage that triggers alarms should be searched or should be allowed to pass through.,0.9444,0.0178,0.001,0.0262,0.0,0.0105,0.0
Decide which information should be included or excluded in reports.,0.9577,0.0,0.0,0.0141,0.0282,0.0,0.0
"Define data requirements, and gather and validate information, applying judgment and statistical tests.",0.9682,0.013999999999999999,0.0009,0.0103,0.0025,0.0040999999999999995,0.0
"Define instructional, learning, or performance objectives.",0.8839,0.0045000000000000005,0.0,0.0045000000000000005,0.09820000000000001,0.0089,0.0
Define or recommend model specifications or data collection methods.,0.6042000000000001,0.0625,0.0833,0.0208,0.1875,0.0417,0.0
Define the goals of the system and devise flow charts and diagrams describing logical operational steps of programs.,0.8563,0.018799999999999997,0.0125,0.0125,0.1,0.0,0.0
Deliver messages and run errands.,0.7816,0.0613,0.0,0.1418,0.0115,0.0038,0.0
Deliver oral or written presentations of the results of mathematical modeling and data analysis to management or other end users.,0.9,0.0,0.05,0.05,0.0,0.0,0.0
"Deliver prepared sales talks, reading from scripts that describe products or services, to persuade potential customers to purchase a product or service or to make a donation.",0.8773000000000001,0.0355,0.0058,0.0687,0.0116,0.0012,0.0
"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",0.7818,0.1727,0.0091,0.0182,0.0091,0.0091,0.0
Demonstrate correct use of exercise equipment or performance of exercise routines.,0.4545,0.0909,0.2727,0.1364,0.0455,0.0,0.0
"Demonstrate equipment to customers and explain its use, responding to any inquiries or complaints.",0.6503,0.029900000000000003,0.2566,0.0475,0.0123,0.0034999999999999996,0.0
Demonstrate how to clean and care for skin properly and recommend skin-care regimens.,0.8234999999999999,0.0588,0.1176,0.0,0.0,0.0,0.0
"Demonstrate or explain products, methods, or services to persuade customers to purchase products or use services.",0.8586,0.0733,0.015700000000000002,0.04190000000000001,0.0105,0.0,0.0
"Demonstrate systems for customers and explain details, such as the causes and consequences of false alarms.",0.6434000000000001,0.011000000000000001,0.26839999999999997,0.0331,0.0147,0.0294,0.0
Describe and express observations and conclusions in mathematical terms.,0.9412,0.0,0.0294,0.0,0.0294,0.0,0.0
"Describe artifacts' physical properties or attributes, such as the materials from which artifacts are made and their size, shape, function, and decoration.",0.9919,0.0,0.0,0.0,0.0,0.008100000000000001,0.0
"Describe merchandise and explain use, operation, and care of merchandise to customers.",0.7092,0.0336,0.1946,0.0313,0.020099999999999996,0.011200000000000002,0.0
Describe or demonstrate products that viewers may purchase through specific shows or in stores.,0.8077,0.0,0.0096,0.1827,0.0,0.0,0.0
